RespId,weight,ppage,educ,race,gender,income_cat,voter_category
470001,0.7516,73,College,White,Female,$75-125k,always
470002,1.0267,90,College,White,Female,$125k or more,always
470003,1.0844,53,College,White,Male,$125k or more,sporadic
470007,0.6817,58,Some college,Black,Female,$40-75k,sporadic
480008,0.991,81,High school or less,White,Male,$40-75k,always
480009,1.0591,61,High school or less,White,Female,$40-75k,rarely/never
480010,1.1512,80,High school or less,White,Female,$125k or more,always
470008,1.0174,68,Some college,Other/Mixed,Female,$75-125k,always
470010,0.8184,70,College,White,Male,$125k or more,always
470011,1.1653,83,Some college,White,Male,$125k or more,always
470013,0.9517,43,College,White,Male,$75-125k,sporadic
470016,1.374,42,College,White,Female,$125k or more,sporadic
480020,0.8438,48,College,White,Male,$40-75k,rarely/never
470017,1.2745,52,Some college,White,Male,$125k or more,sporadic
470018,0.9742,80,High school or less,White,Female,$40-75k,always
470019,0.9893,76,High school or less,White,Female,$75-125k,sporadic
470022,0.8473,73,Some college,White,Female,Less than $40k,always
470025,1.103,52,College,White,Female,$125k or more,always
470027,0.9687,63,Some college,White,Male,$75-125k,always
470028,0.8401,81,Some college,White,Male,Less than $40k,always
470029,1.0167,46,Some college,Other/Mixed,Male,Less than $40k,rarely/never
470030,0.9067,62,Some college,White,Male,$40-75k,always
470031,0.3353,62,College,Black,Male,$75-125k,sporadic
470033,1.1927,84,High school or less,White,Male,Less than $40k,sporadic
470034,1.056,53,College,White,Female,$75-125k,sporadic
470035,0.9261,71,High school or less,White,Female,Less than $40k,always
470036,0.984,50,High school or less,Black,Female,Less than $40k,rarely/never
470037,1.0533,77,Some college,White,Female,$75-125k,sporadic
470038,0.7479,67,College,White,Male,$40-75k,always
470039,0.9261,80,High school or less,White,Female,Less than $40k,always
470040,1.0308,54,College,White,Male,$125k or more,always
470042,1.0088,53,Some college,White,Male,$40-75k,always
470043,0.4642,47,Some college,Hispanic,Male,$40-75k,rarely/never
470044,0.7835,68,College,White,Male,$75-125k,always
470045,0.991,73,High school or less,White,Male,$40-75k,sporadic
470046,1.3568,62,High school or less,Other/Mixed,Male,$75-125k,sporadic
480053,1.0822,58,High school or less,Black,Female,Less than $40k,sporadic
470049,1.0735,58,High school or less,White,Female,$75-125k,sporadic
470050,0.8795,87,High school or less,White,Female,Less than $40k,always
480056,0.5983,55,Some college,Black,Male,$40-75k,sporadic
470051,1.1106,52,High school or less,White,Male,$40-75k,rarely/never
470052,1.0067,64,Some college,Other/Mixed,Female,$75-125k,sporadic
470053,0.9927,82,Some college,White,Male,$125k or more,always
470056,1.3135,58,College,White,Female,$125k or more,always
470057,0.7378,55,College,White,Male,$40-75k,always
470058,0.9456,84,Some college,White,Female,$40-75k,always
470059,0.969,66,Some college,White,Female,$40-75k,always
470061,0.5441,63,Some college,Black,Female,$40-75k,always
470062,0.8243,75,College,White,Male,$75-125k,always
